Model probability	Spectral learning probability
2.013804e-80	2.195574e-80	[4, 7, 5, 5, 6, 6, 7, 4, 0, 3, 2, 3, 1, 5, 1, 4, 0, 2, 4, 2, 4, 2, 6, 3, 7, 7, 6, 4, 4, 0, 6, 6, 6, 3, 7, 6, 0, 6, 1, 2, 7, 0, 7, 2, 1, 0, 0, 1, 7, 6, 7, 2, 5, 7, 2, 2, 2, 6, 2, 7, 0, 7, 7, 7, 2, 6, 2, 3, 7, 3, 7, 0, 0, 2, 0, 0, 4, 5, 5, 3, 3, 1, 7, 6, 3, 3, 0, 4, 6, 1]
1.546502e-73	1.547967e-73	[5, 4, 1, 2, 7, 3, 7, 0, 0, 6, 3, 2, 1, 6, 6, 0, 5, 6, 1, 2, 5, 7, 1, 1, 0, 1, 6, 2, 7, 7, 6, 2, 6, 4, 6, 4, 6, 6, 5, 3, 6, 3, 2, 2, 1, 7, 0, 1, 2, 4, 7, 3, 6, 6, 0, 2, 1, 5, 2, 6, 1, 6, 5, 6, 4, 6, 7, 3, 6, 6, 7, 0, 7, 1, 2, 4, 2, 0, 2, 0, 2, 5]
1.006767e-13	1.014184e-13	[3, 7, 6, 2, 1, 3, 3, 7, 5, 6, 0, 6, 0, 6, 7]
7.009270e-15	7.456396e-15	[0, 0, 7, 4, 0, 1, 7, 6, 4, 6, 3, 4, 1, 0, 2, 2]
2.800970e-45	2.521615e-45	[3, 0, 4, 6, 5, 5, 7, 6, 1, 3, 2, 3, 2, 0, 0, 5, 2, 7, 6, 3, 1, 1, 7, 7, 3, 0, 7, 3, 0, 3, 7, 4, 6, 1, 2, 3, 7, 4, 1, 1, 0, 1, 2, 0, 6, 6, 5, 2, 2]
8.961487e-46	9.658754e-46	[0, 3, 5, 3, 0, 6, 6, 3, 4, 5, 1, 6, 0, 6, 2, 5, 3, 0, 6, 0, 4, 3, 6, 0, 4, 3, 6, 6, 1, 7, 6, 2, 2, 6, 6, 3, 2, 6, 1, 7, 5, 0, 3, 7, 0, 7, 2, 3, 2, 4, 0]
8.458981e-85	9.461668e-85	[0, 5, 0, 2, 5, 3, 4, 7, 0, 6, 6, 0, 0, 3, 1, 1, 5, 6, 2, 4, 4, 0, 7, 1, 3, 2, 4, 1, 5, 2, 4, 0, 4, 6, 2, 4, 4, 6, 6, 1, 7, 6, 1, 1, 6, 7, 4, 2, 6, 2, 3, 7, 7, 1, 2, 7, 5, 1, 6, 7, 2, 4, 0, 7, 6, 0, 2, 6, 3, 4, 2, 7, 2, 0, 2, 7, 0, 2, 2, 7, 6, 7, 6, 6, 2, 6, 6, 2, 6, 2, 7, 7, 0, 7, 5, 7]
2.579436e-57	2.250162e-57	[3, 4, 0, 7, 7, 7, 2, 3, 7, 0, 0, 0, 7, 4, 0, 3, 1, 1, 4, 3, 3, 0, 6, 2, 6, 0, 6, 4, 6, 0, 7, 5, 1, 5, 1, 3, 3, 6, 0, 7, 3, 6, 2, 5, 1, 1, 6, 7, 1, 7, 3, 4, 3, 0, 6, 0, 4, 3, 0, 4, 6, 7, 7]
3.643794e-74	2.390586e-74	[7, 6, 2, 0, 1, 1, 6, 3, 3, 1, 7, 1, 3, 3, 1, 5, 6, 5, 3, 1, 1, 1, 3, 1, 3, 4, 1, 7, 2, 4, 6, 6, 5, 4, 0, 0, 7, 6, 1, 0, 4, 3, 4, 3, 3, 0, 0, 4, 1, 6, 6, 0, 5, 6, 6, 6, 7, 3, 5, 7, 2, 6, 4, 1, 0, 7, 7, 5, 5, 6, 7, 1, 5, 2, 0, 6, 5, 6, 3, 7]
1.664841e-72	1.619792e-72	[0, 0, 4, 0, 4, 3, 5, 0, 3, 7, 6, 0, 4, 7, 2, 4, 7, 7, 4, 2, 0, 7, 1, 7, 0, 4, 3, 2, 0, 6, 3, 4, 7, 2, 0, 7, 7, 3, 2, 4, 6, 4, 5, 0, 4, 1, 6, 6, 6, 2, 0, 6, 3, 7, 5, 2, 5, 6, 3, 0, 7, 7, 2, 0, 7, 3, 0, 1, 5, 4, 0, 0, 2, 3, 6, 0, 5, 0, 2, 0, 0]
1.146553e-57	1.174464e-57	[3, 0, 7, 6, 0, 6, 3, 7, 3, 4, 1, 0, 3, 2, 3, 2, 0, 2, 7, 6, 3, 3, 4, 4, 4, 4, 7, 2, 5, 2, 0, 6, 5, 5, 0, 0, 1, 6, 6, 6, 6, 0, 6, 1, 0, 7, 1, 6, 6, 7, 7, 6, 1, 6, 7, 6, 1, 5, 5, 4, 6, 4, 3, 1]
5.030299e-36	5.005871e-36	[3, 0, 3, 7, 6, 4, 7, 2, 7, 5, 4, 2, 0, 4, 0, 6, 6, 4, 7, 5, 3, 4, 6, 4, 0, 0, 6, 2, 1, 0, 7, 6, 6, 2, 7, 1, 2, 7, 7, 3]
2.257015e-49	2.435395e-49	[4, 6, 0, 7, 2, 6, 5, 5, 1, 3, 2, 1, 7, 0, 2, 0, 0, 7, 3, 1, 1, 2, 4, 7, 0, 4, 6, 0, 2, 6, 3, 1, 7, 1, 6, 0, 2, 2, 2, 2, 0, 2, 0, 6, 3, 4, 5, 2, 1, 2, 3, 3, 2, 3]
5.192071e-86	4.123115e-86	[2, 7, 0, 2, 0, 1, 6, 3, 2, 7, 6, 4, 4, 2, 2, 2, 0, 0, 2, 5, 4, 7, 1, 1, 6, 0, 7, 6, 0, 7, 5, 2, 0, 6, 7, 0, 0, 0, 0, 2, 7, 6, 0, 1, 6, 2, 5, 0, 2, 7, 1, 5, 3, 1, 7, 7, 0, 3, 0, 2, 1, 7, 2, 2, 3, 2, 0, 7, 6, 6, 5, 0, 2, 6, 7, 2, 6, 3, 2, 7, 3, 6, 2, 6, 7, 3, 1, 7, 7, 0, 2, 5, 7, 6, 4, 0, 3, 0]
1.259670e-85	1.391151e-85	[3, 6, 5, 6, 2, 2, 0, 1, 4, 3, 6, 2, 6, 0, 4, 7, 7, 0, 6, 2, 4, 0, 6, 3, 6, 0, 0, 1, 4, 3, 0, 4, 6, 2, 0, 0, 3, 5, 1, 2, 2, 6, 2, 0, 7, 0, 7, 1, 6, 6, 5, 0, 7, 6, 0, 3, 3, 6, 7, 3, 5, 4, 5, 0, 6, 2, 5, 7, 7, 0, 0, 7, 6, 6, 2, 6, 2, 5, 2, 3, 1, 1, 4, 6, 7, 1, 3, 6, 2, 0, 6, 2, 3, 5, 5, 3]
1.510115e-52	1.920120e-52	[7, 0, 1, 2, 5, 0, 1, 0, 4, 0, 1, 7, 4, 4, 5, 1, 2, 5, 1, 2, 2, 1, 6, 0, 1, 1, 7, 6, 6, 0, 7, 1, 6, 7, 0, 6, 5, 3, 6, 6, 0, 2, 6, 3, 6, 0, 6, 1, 2, 1, 3, 5, 1, 0, 6, 7, 0, 1]
2.478418e-08	2.417662e-08	[0, 3, 6, 6, 7, 0, 6, 2, 5]
9.080529e-31	8.160848e-31	[5, 0, 7, 6, 1, 3, 7, 1, 0, 6, 0, 2, 2, 4, 2, 4, 2, 0, 6, 0, 3, 2, 6, 3, 2, 0, 6, 0, 6, 6, 0, 4, 4, 2, 6]
3.989205e-09	4.104354e-09	[1, 2, 7, 2, 5, 4, 7, 3, 7]
1.164733e-89	9.274644e-90	[0, 3, 5, 3, 7, 4, 4, 0, 3, 4, 4, 2, 0, 0, 7, 5, 3, 1, 7, 0, 4, 0, 1, 7, 1, 7, 0, 7, 1, 1, 4, 7, 7, 6, 0, 3, 0, 0, 3, 6, 3, 6, 6, 7, 5, 2, 7, 0, 6, 5, 3, 2, 7, 1, 1, 7, 2, 6, 0, 1, 4, 1, 7, 2, 5, 6, 7, 4, 4, 1, 1, 6, 7, 3, 6, 1, 5, 6, 6, 4, 2, 7, 3, 5, 6, 2, 7, 4, 1, 2, 7, 5, 0, 1, 4, 7, 1, 3]
8.143388e-19	8.515457e-19	[5, 0, 7, 2, 3, 4, 2, 3, 6, 6, 7, 7, 6, 0, 6, 6, 0, 3, 2, 2, 2]
2.641502e-23	2.733889e-23	[0, 4, 7, 5, 5, 7, 5, 1, 2, 4, 7, 6, 6, 6, 5, 4, 4, 0, 7, 4, 2, 0, 0, 7, 4]
7.898679e-35	7.158717e-35	[1, 6, 0, 6, 2, 0, 4, 0, 5, 5, 2, 0, 7, 0, 6, 2, 2, 6, 0, 7, 0, 0, 5, 1, 5, 6, 6, 7, 3, 6, 1, 2, 3, 7, 2, 1, 4, 5, 6]
9.555302e-56	9.159245e-56	[0, 6, 2, 6, 6, 7, 2, 7, 0, 4, 0, 3, 3, 6, 7, 5, 7, 5, 0, 0, 2, 3, 0, 2, 6, 1, 4, 6, 4, 6, 6, 5, 1, 6, 3, 6, 0, 0, 7, 2, 2, 4, 7, 1, 5, 0, 2, 3, 0, 6, 1, 1, 6, 4, 1, 4, 5, 2, 6, 4, 6, 3]
3.916446e-11	3.990921e-11	[4, 3, 6, 5, 7, 1, 4, 6, 6, 4, 1]
1.459586e-50	1.396069e-50	[2, 6, 6, 3, 2, 2, 5, 6, 7, 6, 1, 3, 1, 0, 3, 6, 4, 4, 0, 6, 0, 2, 2, 0, 4, 2, 4, 1, 5, 6, 2, 6, 7, 0, 7, 5, 1, 4, 0, 7, 2, 5, 2, 3, 6, 2, 5, 0, 2, 3, 6, 0, 6, 7, 0, 6, 0]
